Tanggal,USN,Komen
10/04/2026,Tanyarlfes,"nangis baca ini, ada dokter jantung yang mau mengupayakan kesembuhan pasiennya walau pasiennya peserta BPJS PBI, tapi malah dipecat sepihak sama rumah sakitnya 💚"
10/04/2026,Tanyarlfes,alasan lainya juga gara² vokal membela temen sejawatnya yang dimutasi karena alasan yang gak masuk akal 😔
07/04/2026,@piinkrosies,"disini kan semuanya diduitin wkwkwk harusnya peserta bpjs dapet perlakuan sama dong kan fungsi bpjs buat membantu mereka yang emg harus dibantu bukan malah dipersulit, gada maknanya dong kalo gitu pke bojs juga"
08/04/2026,@mimibuying,"menurutku justru yg bobrok adalah bpjsnya.. jujur rs juga ga jarang rugi karena klaim ke bpjs tuh susah dan berubah2 kebijakannya setiap waktu. ada case misal bulan januari regulasinya A , lalu februari regulasi berubah jadi B, nah kl berkas bln jan baru di klaim bln feb—"
07/04/2026,@AqidaJamal,"Sekalian mau tanya, biaya bpjs mandiri naik 100% ya min? Tagihanku 2x lipat dalam bulan ini, padahal gak ada tunggakan"
08/04/2026,@Turnitin1500,Tapi memang ada bbrp doktor or perawat yg maaf g melayani pasien BPJS dengan baik:( dulu saudaraku sakit gagal ginjal sm dokter disuruh ganti obat yg mahal tapi kata perawatnya obat itu g ada stoknya padahal sebenarnya ada akhirnya dokternya marahin tu perawat didepan saudaraku
10/04/2026,@JukiHoki,Kuliah mahal BPJS gak ada kelas tapi tarifnya mau disesuain ama nominal gaji. Gini amat negara BU.
06/04/2026,@tanyakanrl,"biaya cabut gigi bungsu atas sama bawah tuh sama gak? yang bawah tuh tiduran, yang ini pengennya pake BPJS aja, yang atas satunya miring ke pipi, satunya miring nyender ke gigi gerahamm, rencana yang atas pengennya bayar mandiri ajaa, tapi takut liat harganya 😭"
06/05/2026,@Jaring_UburUbur,"ini ada perubahan kebijakan apa gmna? aku thn 2021 kmren lgsung 2 sih, bhkan nambah 2 gigi geraham yg akarnya udh mati, jdi total cabut 2 gigi bungsu yg impaksi dan 2 gigi geraham, full dicover bpjs"
06/06/2026,@moonyoongi26,"Lahh kok gituu? Aku cabut 4 gigi bungsu di 2024 semuanya full bpjs loh nder? Biaya rongten, op, kontrol lanjutan pun semua dicover. Apa udh beda ya peraturannya?"
05/04/2026,@worksfess,"work! udah 2.5 tahun kerja di company sekarang, tp ga dapet bpjs kes & bpjstk. kalopun mau dapet harus ngajuin sendiri + nunggu approval atasan wkwk. pdhl bs dibilang company gede, cabang jg ada banyak se indo:("
07/04/2026,@worksfess,"work!sender mau tanya ttg bpjs. Sender dulu sewaktu belum kerja, satu KK dapat BPJS PBI, lalu sekarang BPJS nya nonaktif semua. Apa karena sender sekarang sudah kerja, ada gaji umk, sama dapat BPJSTK? Jadi BPJS PBI nya nonaktif?"
05/04/2026,@worksfess,work! guys kalo nomor izin usaha itu adanya di file apa ya? aku pegangnya cuma NIB sama NPWP. ini buat daftar BPJS Kes btw
10/04/2026,@worksfess,Work! Kalo bpjs kes dan ketenagakerjaan seluruhnya ditanggung perusahaan tu kita ga dipotongkah? Soalnya kan setau aku ada brp persen yg dibyr pegawai dan perusahaan atau emg ada yg ditanggung perusahaan semua?
09/04/2026,@worksfess,Work! Aku baru keterima kerja dan BPJS sender mati. Apakah sender harus bayar tagihan BPJS dulu?
01/04/2026,@worksfess,Work! Kalau kita udah kerja beberapa tahun. Diawal sudah dikasih tau dpt bpjs ketenagakerjaan 3 program termasuk yg jht. Baru kemarin tau ternyata cuman didaftarin program jaminan kematian sama kecelakaan kerja aja huft.. mau protesss sebel bgt
06/04/2026,@tanyakanrl,"💚 guys aku ada BPJS rujukan ke dokter di RS buat penyakit dalam sampai Juni, kalau mau buat rujukan buat gigi di RS, harus nunggu yang Juni habis dulu ya waktunya? Ngga bisa barengan? Atau bisa? Makasih 🙏"
06/04/2026,@JhonYohanas,"Kalau beda rujukan bisa buat lagi, bahkan sampai banyak rujukan juga bisa Tapi jangan datang di hari yg sama dengan jadwal kontrol ke Penyakit dalamnya Apa BPJS dan Faskesnya enggak edukasi? Mereka malas edukasi karena takut kapitasinya di potong kali"
06/04/2026,@richviltrumite,baca di berita2 di google dari petinggi bpjs nya bilang bisa kok
06/04/2026,@WidyawatiPuji,"Kalau barengan dalam satu hari setauku gak bisa, itu kata dokter di RS tempat biasa aku periksa, kalau beda hari bisa. Kalau maunya satu hari langsung bisa satu pake bpjs satunya umum"
09/04/2026,@worksfess,"klo ada tawaran work! dibekasi tp gaji under umr, gada bpjs, kerja full smp sabtu 8-6. mending ambil atau sabar aja ya? udh capek nganggur pgn punya uang sendiri krn tabungan udh menipis 😭🙏🏻"
09/04/2026,@MenteriPekerja,PENGEN MARAH MARAH LIAT INI  kok bisa ngasi rincian potongan bpjs kayak gitu semua di bebankan ke pekerja
09/04/2026,@yappingfess,Yap! Maafkan sya dokter bpjs yang tadi jadi bete dan marah krn sya budek 😭🙏
01/04/2026,@tanyarlfes,"guys ini BPJS ngga bisa dinonaktifkan secara mandiri ya, keluarga merasa berat kalo harus bayar tiap bulan "
01/04/2026,@ratusaaann,"Jangan matiin bpjs. Kalo ada kondisi urgent kebantu banget! Maaf tapi kalo kekuargamu golongan tidak mampu ajuin ke dinsos, urus rt rw. Kalo gak bisa masuk PBI turun kelas aja. Aku dari kelas II turun ke kelas III. Sebulan 35rb/orang."
01/04/2026,@totomycat,"Turun kelas aja, atau ganti ke PBI. Bpjs jangan smpe non aktif, buat jaga2. Emang bayar iuran lagi sulit tapi perlu diperhatiin kedepannya, klo dinonaktifkan nanti misalnya amit2 ada kejadian sakit harus dirawat kamu malah lebih kelimpungan soal biayanya nder"
01/04/2026,@feriindrawab18,"Saran sih jangan di nonaktifkan. Jika merasa keberatan bisa turun kelas, ambil kelas yang rendah saja. Mau gimana pelayanan BPJS, tapi ini helpful banget buat kondisi darurat."
01/04/2026,@prilempril,"Turun saja ke kelas 3, lebih ramah kantong. Dalam kondisi darurat BPJS sangat membantu buatku yg g sanggup bayar premi asuransi swasta.. kalau masih tidak sanggup juga daftar buat jd PBI (meskipun susah lolosnya)"
01/04/2026,@gajitaknaiknaik,"Bayar BPJS aja berat, apalagi kalau bayar berobat saat sakit. Tolong sebisa mungkin berusahalah untuk bisa dibayar BPJS nya, karna hari sial gak ada di kalender. Jangan saat ada keluarga sakit dan butuh BPJS, baru bingung gimana biaya berobatnya."
01/04/2026,@RoyLaini12,"ganti kelas 3. bayaran ga mencekik lebih murah daripada rokok legal. mau dijelekin gimanapun, BPJS membantu banget bagi keluarga saya yg ga mampu pakai asuransi swasta atau bayar secara umum."
01/04/2026,@mencobavalid,"coba kalau keberatan datang ke BPJS terdekat nder, bilang keluh kesahnya seperti apa, daripada nanti pas dipakai diitung nunggak terus"
09/04/2026,@hadeshateares,"fyi BPJS Kes sm TK ada porsi karyawan sama perusahaan masing-masing… dan dr data ini pun udh ketauan gaji km berapa tp kalo casenya gini run der cari kerjaan baru kecuali km memang butuh duitnya, aku cuman bisa bilang yg sabar dan kuat ya😭🙏"
09/04/2026,@paleeisme,"tanggal2 e melakukan adegan dewasa (bayar wifi, bpjs, pdam, pgn)"
