Tanggal,USN,Komen
11/3/2026,workfess,"work! Guys aku ga tau. Sebelumnya kan aku peserta PBI, nah aku baru dapet kerja yang ada bpjs nya. Berarti status PBI ku hilang kan? terus tadi aku cek di aplikasi kok ada tulisan gini? ini apa ya?"
11/3/2026,AnyelirPinkeu,"Itu krn bpjs km br aktif lg setelah nunggak/krn pindah dr pbi ke mandiri. Klo km rawat inap di rentang tgl tsb, kamu harus bayar denda rawat inap."
11/3/2026,clearzwn,"Ini bpjs khususnya PBI kok bikin pusing Ada pasien lahiran,saat daftar bpjs tidak aktif, ngurus ke desa lalu bpjs aktif pas hari partusnya. Setelah pasien pulang bpjs dicek tidak aktif lagi data bermasalah"
11/3/2026,NakesPuskesmas,Ada kmungkinan sih kak. Biasanya pemutusan bpjs pbi bsa trjadi kpn saja klau iurannya gak dibayar pemerintah. Coba cek kpesertaan di mobile JKN kak
11/3/2026,lurahkombat,"Rakyat Indonesia yang bener bener miskin dan miskin ekstrem malah tidak mendapatkan BPJS PBI, malah sebaliknya 15 juta orang menengah keatas malah menikmati BPJS PBI ! Menteri Sosial nya Korupsi berserta jajarannya sudah di ciduk KPK, pantesan di kampung kampung banyak mencibir"
11/3/2026,Mackemot1,"Banyak kok pedagang seperti ini,tukang sayur,penjual gorengan(siomay bakwan bakso telur gulung,dkk) warteg,naspad mereka ini kyk kerjanya gak necis duitnya banyak,gak semua disimpan di bank,gak bayar pajak,dpt bansos,pkh,bpjs pbi.."
12/3/2026,budhesupita,"1. Yes, segmenmu sekarang Pekerja Penerima Upah (PPU), bukan PBI lagi. 2. Kalau kamu berobat dan harus ranap pada rentang tanggal 02 Maret s/d 16 April 2026, kamu akan kena denda. Kalau nggak ranap, nggak akan kena denda. Note: Besarnya denda nggak menentu. Nanti akan diketahui ketika kamu sudah ranap dan diberi rincian denda oleh petugas BPJS dari RS. Semoga kamu sehat selalu, nggak perlu ranap, apalagi bayar denda, ya."
12/3/2026,cathekinn,"padahal sakit metal itu beneran kerasa di badan. Bapak isinya nyuruh istighfar terus. Muak gw setengah tahun ga bilang apapa. Gw ga ke dokter jiwa lagi, BPJS mati krn PBI. Belom kerja. Ini kalau udah kerja mau gw idupin kontrol lagi."
12/3/2026,iamnggls,Lu tau BPJS PBI? Lu tau ga kalau ada oknum yg jualin itu bpjs per KK 1jt? Biar masuk PBI?  Semua program ada tikusnya kak. Tol aja itu MBZ bsa gelombang karna apa? Di korupsi🙏🏻
12/3/2026,rujaknanas23,"Bpjs sampe sekarang worth it banget sih, fyi BPJS saya bukan pbi ya izin😭"
