Date,Username,Comment
12/1/2025,worksfess,"work! sender gak nyaman sama lingkungan kerja yang toxic, rencananya mau coba konsul ke psikiater tapi bisa gak ya pake bpjs pbi? https://t.co/oPYKaWMXWd"
12/2/2025,mollypinki,"@undipmfs2 waktu itu aku case-nya juga sama kayak kamu, aku pbi dan udah disetujui di SIAP cuman kalo di JKN masih faskes asal kota makanya keluarga ku ke kantor BPJS"
12/2/2025,grok,"@AntonSubagia @Bank_Joee_ @susno2g @Jediimar @_satrio_aji_ @feroferraferri @bonapasogit24 @VerenaSusilowa1 @SmileyNDeLight @FDonghun @QueenSilence_ @BANGSAygSUJUD @HotelBrongto @ferdinand_mpu @mohmahfudmd @msaid_didu @neVerAl0nely___ Haha, poin bagus! Benar, bayi baru lahir harus didaftarkan ke BPJS Kesehatan dalam 28 hari (untuk PBPU) atau 3 bulan (PBI) agar biaya RS ditanggung (sumber: Perpres 82/2018, BPJS Kesehatan). Jika belum, orang tua bayar sendiri. Vaksin bisa cegah sakit awal &amp; biaya tinggi. Setuju?"
12/3/2025,yourrsse,@BPJSKesehatanRI min kalo mau pindah dari bpjs peserta mandiri ke bpjs PBI tapi masih ada tunggakan di BPJS biasa bisa ga ya?? Soalnya kasian teman saya gak sanggup buat lunasin tunggakan bpjsnya.
12/3/2025,hamiyaaaa,Bpjs pbi akhir bln kemarin serentak pada nonaktif kenapa dah🙄
12/3/2025,azwar_gobel,@BPJSKesehatanRI pengurusan dari peserta mandiri bukan penerima upah yg bayar tiap bulan ke PBI gmn cara nya ya? Bapak ku wktu itu bawa surat RT RW ke kelurahan sudah ke kelurahan ke petugas BPJS dsna .. udh sebulan msh blm ada kabar ya?
12/4/2025,RivaiBaim,Sedikit Tips Buat Mengatasi BPJS PBI yang tiba-tiba tidak aktif https://t.co/x8mNn0D6R7
12/4/2025,BPJSKesehatanRI,"@liameyzz Salam. Penentu keaktifan Peserta PBI berdasarkan dengan perjanjian kerja sama antara Pemerintah Daerah dengan BPJS Kesehatan, sedangkan Peserta PBI JK/ PBI JK sesuai dengan (DTSEN) yang telah ditentukan oleh Pemerintah Pusat sesuai SK Kementerian Sosial. (Teks 1/2)"
12/4/2025,taufikpersonal,"@BPJSKesehatanRI Min mau tanya, kok bpjs istri sama anak saya yg PBI tiba² non aktif ya kenapa?"
12/5/2025,pemkabekasi,"Sekretaris Daerah Kabupaten Bekasi, Endin Samsudin, membuka Rapat Koordinasi Pengalihan Penerima Bantuan Iuran (PBI) dari PBI BP/PU Pemerintah Daerah ke PBI Jaminan Kesehatan (PBI JK) bersama BPJS Kesehatan di Ruang Rapat Sekda, Cikarang Pusat, Jumat (5/12). https://t.co/BPnlqyKrEL"
12/6/2025,incess_juli99,@lesdeaux Maaf kak dibikin pisah aja maybe KK Nya kaya Uwa aku. Dia emg gara2 ga pnh E-ktp awalnya. Jd yg si anak sama si istri kedata Gratis PBI terus uwa aku dibantu ke kades jd bayar BPJS pribadi buat sendiri ke pasien yg emg urgent butuh
12/6/2025,incess_juli99,@lesdeaux Ka sorry udh daftar BPJS belum?.) coba daftarin kak atau ga pny bantuan ke kades bikin jamkesda. Aku ga tahu di jakarta ada apa engga di aku bogor kabupaten si kalau ga ada BPJS daftar jamkesda atau ga minta bantuan Daftar BPJS PBI kalau emg maaf kurang mampu.
12/6/2025,Gen_cuan,Cara cek penerima PBI BPJS Kesehatan 2025 lewat HP dan website. Cek apakah Anda terdaftar sebagai penerima bantuan iuran secara cepat dan mudah. https://t.co/MrzxokRYDG
12/8/2025,Tety_Setia16,"@mads_nesss @tanyarlfes Utk mengajukan, ke kelurahan dulu guna mengubah status pekerjaan suami yg ada di KTP &amp; KK. Saat itu stts pekerjaan suami sy di KTP &amp; KK dr karyawan swasta menjadi Buruh Harian Lepas. Lalu kita ke Puskesmas utk mengubah BPJS kls 1 menjadi PBI."
12/8/2025,Tety_Setia16,"@tanyarlfes Untuk BPJS, minta pindah ke PBI (Penerima Bantuan Iuran) saja. Spt saya, pas kontrak kerja suami ga diperpanjang (otomatis nganggur), langsung ajukan PBI."
12/8/2025,ndoeddd,"Ngerasain pasien umum dan bpjs kelas 1 emang diprioritasin, beda sama pbi🙌"
12/9/2025,MohHaerulAnwar,@Milkychoco17 @BPJSKesehatanRI Saya hari aktifasi ulang bpjs PBI ke bpjs Mandiri automatis AKTIF setelah pembayaran selesai kak.
12/10/2025,ndraverne,"Sarapan dulu, abis keliling pendataan ulang warga yang dapet BPJS PBI. Kata petugas Kelurahan ""barusan orang mampu ya Pak?"" 😁 https://t.co/79uWX3PZsK"
